7zip 25.01-1
networkmanager-dmenu-git r237.bda983f-1
nodejs 25.4.0-1
npm 11.7.0-1
nwg-drawer 0.7.4-3
nwg-look 1.0.6-1
ocean-sound-theme 6.5.5-1
onlyoffice-bin 9.2.1-1
oxygen 6.5.5-1
oxygen-sounds 6.5.5-1
pacman-contrib 1.13.1-1
pavucontrol 1:6.2-1
peaclock 0.4.3-2
pipes.sh 1.3.0-1
plasma-activities 6.5.5-1
plasma-activities-stats 6.5.5-1
plasma-browser-integration 6.5.5-1
plasma-desktop 6.5.5-1
plasma-disks 6.5.5-1
plasma-firewall 6.5.5-1
plasma-integration 6.5.5-1
plasma-nm 6.5.5-1
plasma-pa 6.5.5-1
plasma-sdk 6.5.5-1
plasma-systemmonitor 6.5.5-1
plasma-thunderbolt 6.5.5-1
plasma-vault 6.5.5-1
plasma-welcome 6.5.5-1
plasma-workspace 6.5.5-1
plasma-workspace-wallpapers 6.5.5-1
plasma5support 6.5.5-1
plymouth-kcm 6.5.5-1
polkit-kde-agent 6.5.5-1
power-profiles-daemon 0.30-1
powerdevil 6.5.5-1
print-manager 1:6.5.5-1
proton-ge-custom-bin 1:GE_Proton10_29-1
python-dbus 1.4.0-2
python-gpustat 1:1.1.1-1
python-pip 25.3-3
qpwgraph 0.9.8-1
qqc2-breeze-style 6.5.5-1
qt5-wayland 5.15.18+kde+r55-1
qt6-wayland 6.10.1-1
qt6ct 0.11-3
quickshell-allflags-git r731.191085a-1
rofi 2.0.0-1
rofi-bluetooth-git r41.0cca4d4-1
rust 1:1.92.0-1
sddm 0.21.0-6
sddm-kcm 6.5.5-1
slurp 1.5.0-1
spectacle 1:6.5.5-1
starship 1.24.2-1
steam 1.0.0.85-1
sudo 1.9.17.p2-2
swaync 0.12.4-1
swww 0.11.2-1
systemsettings 6.5.5-1
thunar 4.20.7-1
thunar-volman 4.20.0-2
tree 2.2.1-1
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols 3.4.0-1
tumbler 4.20.1-1
typescript 5.9.3-2
ufw 0.36.2-7
unimatrix-git r89.5cf67aa-1
unzip 6.0-23
vscode-html-languageserver 1.107.0-1
wacomtablet 6.5.5-1
waybar 0.14.0-6
waypaper 2.7-1
wev 1.1.0-1
wf-recorder-git r233.9da69a7-1
wl-clipboard 1:2.2.1-3
wlogout 1.2.2-0
wofi 1.5.3-1
xdg-desktop-portal-hyprland 1.3.11-3
xdg-desktop-portal-kde 6.5.5-1
xf86-video-vesa 2.6.0-2
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-server-devel 21.1.21-1
xorg-server-src 21.1.21-1
xorg-server-xephyr 21.1.21-1
xorg-server-xnest 21.1.21-1
xorg-server-xvfb 21.1.21-1
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.5-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.7-1
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.9-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
yay 12.5.7-1
yay-debug 12.5.7-1
zip 3.0-11
zoxide 0.9.8-2
